Dataset,Criterion,MaxDepth,Trial,Accuracy,NodeCount,ActualDepth,TrainingTime(ms)
Adult,IG,0,1,0.805,1368,15,388.943
Adult,IG,0,2,0.77,1357,15,308.855
Adult,IG,0,3,0.776667,1390,15,350.283
Adult,IG,0,4,0.786667,1340,15,321.122
Adult,IG,0,5,0.778333,1304,15,293.009
Adult,IG,0,6,0.798333,1292,15,330.614
Adult,IG,0,7,0.775,1319,15,287.377
Adult,IG,0,8,0.758333,1404,15,303.671
Adult,IG,0,9,0.773333,1338,15,316.608
Adult,IG,0,10,0.758333,1303,15,319.377
Adult,IG,0,11,0.773333,1340,15,364.709
Adult,IG,0,12,0.775,1363,15,308.123
Adult,IG,0,13,0.76,1382,15,311.625
Adult,IG,0,14,0.778333,1390,15,355.022
Adult,IG,0,15,0.806667,1395,15,313.237
Adult,IG,0,16,0.811667,1343,15,292.575
Adult,IG,0,17,0.798333,1354,15,315.467
Adult,IG,0,18,0.768333,1454,15,370.037
Adult,IG,0,19,0.778333,1366,15,283.322
Adult,IG,0,20,0.785,1379,15,317.838
Iris,IG,0,1,0.9,19,5,10.506
Iris,IG,0,2,0.966667,15,5,0
Iris,IG,0,3,1,17,5,20.884
Iris,IG,0,4,0.933333,15,5,9.62
Iris,IG,0,5,0.933333,15,5,9.848
Iris,IG,0,6,0.966667,15,5,7.529
Iris,IG,0,7,0.933333,15,5,12.533
Iris,IG,0,8,0.933333,19,5,12.328
Iris,IG,0,9,0.933333,17,5,6.419
Iris,IG,0,10,0.966667,23,5,8.34
Iris,IG,0,11,0.933333,15,5,15.82
Iris,IG,0,12,1,15,5,0
Iris,IG,0,13,1,15,5,0
Iris,IG,0,14,0.966667,19,5,15.923
Iris,IG,0,15,0.933333,17,5,0
Iris,IG,0,16,0.766667,15,5,15.907
Iris,IG,0,17,1,17,5,0
Iris,IG,0,18,0.866667,17,5,0
Iris,IG,0,19,0.866667,15,5,15.875
Iris,IG,0,20,0.9,19,5,0
Adult,IG,2,1,0.751667,7,2,91.82
Adult,IG,2,2,0.756667,7,2,87.109
