Dataset,Criterion,MaxDepth,AvgAccuracy,StdDeviation,AvgNodes,AvgDepth,AvgTrainingTime(ms)
Adult,IG,0,0.78075,0.0154962,1359,15,322.591
Iris,IG,0,0.935,0.0552519,16,5,8.0766
Adult,IG,2,0.751333,0.0133708,7,2,74.5708
Iris,IG,2,0.605,0.0486198,3,2,3.0243
Adult,IG,3,0.809333,0.00953648,89,3,140.115
Iris,IG,3,0.905,0.0462781,5,3,5.86925
Adult,IG,4,0.800167,0.0105791,342,4,214.076
Iris,IG,4,0.925,0.0493007,9,4,6.79025
Adult,IG,5,0.788833,0.0167091,584,5,254.7
Iris,IG,5,0.918333,0.053203,16,5,7.25385
Adult,IG,7,0.777417,0.0138892,889,7,287.401
Iris,IG,7,0.901667,0.0488478,17,5,6.95515
Adult,IG,10,0.770667,0.0142731,1102,10,315.735
Iris,IG,10,0.933333,0.0483046,16,5,8.9496
Adult,IG,12,0.783083,0.0169006,1212,12,336.808
Iris,IG,12,0.935,0.040104,16,5,8.92575
Adult,IG,15,0.784,0.0135851,1348,15,358.374
Iris,IG,15,0.923333,0.0460676,17,5,7.17965
Adult,IGR,0,0.789833,0.01279,1128,15,457.208
Iris,IGR,0,0.946667,0.0498888,15,5,7.5454
Adult,IGR,2,0.768833,0.0154659,3,2,71.2498
Iris,IGR,2,0.575,0.0631357,3,2,4.1224
Adult,IGR,3,0.776917,0.0210639,10,3,136.453
Iris,IGR,3,0.923333,0.0472582,5,3,6.9391
Adult,IGR,4,0.791583,0.0228003,33,4,202.734
Iris,IGR,4,0.888333,0.0570331,9,4,7.86275
Adult,IGR,5,0.817583,0.0164188,80,5,256.188
Iris,IGR,5,0.926667,0.0466667,15,5,9.1062
Adult,IGR,7,0.810083,0.0151701,274,7,327.636
Iris,IGR,7,0.943333,0.0381517,16,5,6.49985
Adult,IGR,10,0.799083,0.0162743,589,10,394.432
Iris,IGR,10,0.946667,0.0413656,15,5,6.8323
Adult,IGR,12,0.790667,0.0122406,869,12,412.042
Iris,IGR,12,0.943333,0.0395811,15,5,7.06395
Adult,IGR,15,0.79675,0.0117198,1134,15,413.256
Iris,IGR,15,0.94,0.0359011,15,5,7.56945
Adult,NWIG,0,0.782667,0.0231864,1223,15,366.569
Iris,NWIG,0,0.921667,0.0474634,17,5,9.28965
Adult,NWIG,2,0.75575,0.014186,7,2,75.1455
Iris,NWIG,2,0.601667,0.0806053,3,2,3.4462
Adult,NWIG,3,0.81075,0.0152158,27,3,134.802
Iris,NWIG,3,0.905,0.0717054,5,3,5.16785
Adult,NWIG,4,0.808583,0.0114779,74,4,196.587
Iris,NWIG,4,0.913333,0.0581187,11,4,9.9184
Adult,NWIG,5,0.808583,0.0115623,169,5,233.628
Iris,NWIG,5,0.943333,0.0381517,16,5,6.7763
Adult,NWIG,7,0.79475,0.0152505,466,7,300.66
Iris,NWIG,7,0.925,0.0576146,17,5,6.69915
Adult,NWIG,10,0.78375,0.0151187,898,10,341.744
Iris,NWIG,10,0.908333,0.0736923,15,5,7.0802
Adult,NWIG,12,0.788083,0.0205972,1064,12,347.149
Iris,NWIG,12,0.943333,0.0484195,16,5,7.0142
Adult,NWIG,15,0.78925,0.0184427,1250,15,347.888
Iris,NWIG,15,0.92,0.0487625,17,5,7.4228
