Name,|V| or n,|E| or m,Simple Randomized or Randomized-1,Simple Greedy or Greedy-1,Semi-greedy-1,Simple local or local-1 - No. of iterations,Simple local or local-1 - Average value,GRASP-1 - No. of iterations,GRASP-1 - Best value,Known best solution
G1,800,19176,9628,10956,11193(0.85),5,11408,5,11469(0.9),12078
G2,800,19176,9563,11030,11320(0.85),5,11390,5,11470(0.5),12084
G3,800,19176,9609,11012,11291(0.85),5,11402,5,11484(0.95),12077
G4,800,19176,9565,11031,11209(0.85),5,11405,5,11468(0.99),N/A
G5,800,19176,9614,10990,11230(0.85),5,11423,5,11486(0.95),N/A
G6,800,19176,103,1515,1696(0.85),5,1917,5,2051(0.99),N/A
G7,800,19176,-97,1362,1599(0.85),5,1774,5,1828(0.95),N/A
G8,800,19176,-53,1331,1622(0.85),5,1769,5,1849(0.9),N/A
G9,800,19176,-39,1507,1625(0.85),5,1802,5,1871(0.75),N/A
G10,800,19176,-120,1350,1591(0.85),5,1782,5,1807(0.9),N/A
G11,800,1600,10,434,464(0.85),5,484,5,504(0.99),627
G12,800,1600,-5,418,454(0.85),5,473,5,496(0.95),621
G13,800,1600,19,432,472(0.85),5,497,5,518(0.95),645
G14,800,4694,2363,2890,2942(0.85),5,2973,5,2998(0.99),3187
G15,800,4661,2329,2873,2916(0.85),5,2940,5,2966(0.95),3169
G16,800,4672,2317,2878,2940(0.85),5,2959,5,2979(0.9),3172
G17,800,4667,2327,2864,2908(0.85),5,2953,5,2970(0.99),N/A
G18,800,4694,29,780,823(0.85),5,882,5,930(0.9),N/A
G19,800,4661,-81,681,730(0.85),5,773,5,830(0.99),N/A
G20,800,4672,-40,698,752(0.85),5,832,5,872(0.9),N/A
G21,800,4667,-30,704,773(0.85),5,823,5,842(0.99),N/A
G22,2000,19990,9985,12346,12777(0.85),5,12955,5,13009(0.99),14123
G23,2000,19990,10030,12291,12772(0.85),5,12953,5,13031(0.75),14129
G24,2000,19990,9954,12367,12765(0.85),5,12934,5,13021(0.75),14131
G25,2000,19990,10017,12408,12795(0.85),5,12968,5,12996(0.9),N/A
G26,2000,19990,9958,12355,12757(0.85),5,12934,5,13010(0.99),N/A
G27,2000,19990,23,2316,2674(0.85),5,2888,5,2970(0.9),N/A
G28,2000,19990,-75,2329,2639(0.85),5,2872,5,2921(0.9),N/A
G29,2000,19990,63,2367,2653(0.85),5,2948,5,3016(0.75),N/A
G30,2000,19990,24,2401,2679(0.85),5,2951,5,3026(0.9),N/A
G31,2000,19990,-109,2290,2614(0.85),5,2865,5,2944(0.95),N/A
G32,2000,4000,-6,1058,1156(0.85),5,1207,5,1238(0.9),1560
G33,2000,4000,2,1000,1158(0.85),5,1190,5,1238(0.9),1537
G34,2000,4000,-38,988,1162(0.85),5,1189,5,1226(0.99),1541
G35,2000,11778,5873,7252,7368(0.85),5,7440,5,7460(0.95),8000
G36,2000,11766,5882,7225,7364(0.85),5,7441,5,7467(0.95),7996
G37,2000,11785,5887,7264,7381(0.85),5,7440,5,7472(0.5),8009
G38,2000,11779,5851,7305,7375(0.85),5,7441,5,7484(0.9),N/A
G39,2000,11778,-9,1861,1928(0.85),5,2107,5,2167(0.9),N/A
G40,2000,11766,-45,1834,2004(0.85),5,2097,5,2186(0.9),N/A
G41,2000,11785,-21,1876,1983(0.85),5,2085,5,2152(0.99),N/A
G42,2000,11779,67,1989,1975(0.85),5,2167,5,2274(0.99),N/A
G43,1000,9990,4992,6188,6422(0.85),5,6470,5,6519(0.75),7027
G44,1000,9990,4994,6157,6374(0.85),5,6454,5,6499(0.75),7022
G45,1000,9990,4995,6179,6370(0.85),5,6459,5,6504(0.99),7020
G46,1000,9990,5014,6150,6379(0.85),5,6461,5,6484(0.99),N/A
G47,1000,9990,5006,6220,6376(0.85),5,6448,5,6508(0.75),N/A
G48,3000,6000,3002,6000,6000(0.85),5,6000,5,6000(0.5),6000
G49,3000,6000,2982,6000,6000(0.85),5,6000,5,6000(0.5),6000
G50,3000,6000,3003,5880,5880(0.85),5,5880,5,5880(0.75),5988
G51,1000,5909,2966,3626,3704(0.85),5,3731,5,3766(0.95),N/A
G52,1000,5916,2958,3650,3707(0.85),5,3736,5,3753(0.9),N/A
G53,1000,5914,2950,3632,3706(0.85),5,3728,5,3747(0.99),N/A
G54,1000,5916,2953,3633,3702(0.85),5,3725,5,3751(0.95),N/A
